Air District,Title,Number,Report Status,Applicant Name,EJ Project,Identifier,Type,Source Category,Technology,Funded Engines,Project Life,Paid In Full,NOx (tons/yr),ROG (tons/yr),PM (tons/yr),Total NOx (tons),Total ROG (tons),Total PM (tons),Contract Execution,Post Inspection,Grant Amount,Funding Source,Funding/Payment/Withhold Year,Sumif=Funding/Payment/Withhold Amount,Payment/Withhold Date,Equipment ID,First Main Engine Fuel,VIN,Make,Model,Latitude/Longitude,HVIP co-funding
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1065,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.3736,0.0358,0.0136,4.4832,0.4296,0.1632,6/23/20,,45200,CAP,CAP 2(FY 2018-2019,45200,,710454,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1068,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.8002,0.1145,0.0371,9.6024,1.374,0.4452,6/23/20,,88400,CAP,CAP 2(FY 2018-2019,88400,,780001,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1069,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.3592,0.0338,0.013,4.3104,0.4056,0.156,6/23/20,,43700,CAP,CAP 2(FY 2018-2019,43700,,710444,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1073,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.6182,0.0776,0.0264,7.4184,0.9312,0.3168,6/23/20,,148551.03,CAP,CAP 2(FY 2018-2019,70800,,729959,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1074,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.4339,0.045,0.0166,5.2068,0.54,0.1992,6/23/20,,51800,CAP,CAP 2(FY 2018-2019,51800,,710420,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1076,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.6905,0.0919,0.0306,8.286,1.1028,0.3672,6/23/20,,70800,CAP,CAP 2(FY 2018-2019,77800,,779989,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1078,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.4427,0.0465,0.017,5.3124,0.558,0.204,6/23/20,,52700,CAP,CAP 2(FY 2018-2019,52700,,710438,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1080,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.4881,0.054,0.0193,5.8572,0.648,0.2316,6/23/20,,57500,CAP,CAP 2(FY 2018-2019,57500,,710422,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1081,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.3046,0.0263,0.0105,3.6552,0.3156,0.126,6/23/20,,37600,CAP,CAP 2(FY 2018-2019,37600,,710440,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1093,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.7784,0.1104,0.0359,9.3408,1.3248,0.4308,6/23/20,,86200,CAP,CAP 2(FY 2018-2019,86200,,780013,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1100,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.874,0.125,0.0406,10.488,1.5,0.4872,6/23/20,,192169.09,CAP,CAP 2(FY 2018-2019,96600,,729985,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1101,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.5208,0.0596,0.021,6.2496,0.7152,0.252,6/23/20,,60900,CAP,CAP 2(FY 2018-2019,60900,,779977,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1102,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.7589,0.1062,0.0347,9.1068,1.2744,0.4164,6/23/20,,170814.9,CAP,CAP 2(FY 2018-2019,84400,,729991,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-1110,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.7965,0.1139,0.037,9.558,1.3668,0.444,6/23/20,,177037.02,CAP,CAP 2(FY 2018-2019,88000,,730005,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-5001,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.476,0.0509,0.0167,5.712,0.6108,0.2004,6/23/20,,159790.2,CAP,CAP 2(FY 2018-2019,77700,,730011,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-5002,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.6697,0.0821,0.0254,8.0364,0.9852,0.3048,6/23/20,,203615.63,CAP,CAP 2(FY 2018-2019,102800,,730017,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-5003,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.5912,0.069,0.0218,7.0944,0.828,0.2616,6/23/20,,185653.21,CAP,CAP 2(FY 2018-2019,93000,,730343,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-5004,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.5797,0.0671,0.0213,6.9564,0.8052,0.2556,6/23/20,,183084.56,CAP,CAP 2(FY 2018-2019,91500,,730357,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-5005,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.6606,0.0818,0.0252,7.9272,0.9816,0.3024,6/23/20,,518315,CAP,CAP 2(FY 2018-2019,100800,,730389,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-5006,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.6854,0.0848,0.0262,8.2248,1.0176,0.3144,6/23/20,,539022.66,CAP,CAP 2(FY 2018-2019,104700,,730397,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-5007,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.4501,0.047,0.0156,5.4012,0.564,0.1872,6/23/20,,338311.76,CAP,CAP 2(FY 2018-2019,74200,,730403,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-5008,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.5284,0.0589,0.019,6.3408,0.7068,0.228,6/23/20,,84800,CAP,CAP 2(FY 2018-2019,84800,,780078,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-5009,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.7012,0.0869,0.0268,8.4144,1.0428,0.3216,6/23/20,,107000,CAP,CAP 2(FY 2018-2019,107000,,780029,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-5010.00,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.5852,0.068,0.0215,7.0224,0.816,0.258,6/23/20,,92100,CAP,CAP 2(FY 2018-2019,92100,,780090,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21MOY149-On-Road-replacement,21MOY149,Executed,Alameda-Contra Costa Transit District,Y,BAA-21MOY149-5011.00,HH,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.6218,0.074,0.0232,7.4616,0.888,0.2784,6/23/20,,96800,CAP,CAP 2(FY 2018-2019,96800,,780042,ELEC,,New Flyer,XE40,"37.76110597, -122.2045535",
Bay Area AQMD,21SBP211-School-Bus-replacement,21SBP211,Executed,Menlo Park City School District,Y,BAA-21SBP211-1,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0571,0.0035,0.0002,0.571,0.035,0.002,6/11/21,,111500,CAP,CAP 3(FY 2019-2020,111500,,784143,ELEC,,Blue Bird,T3RE 3904,"37.461348, -122.130749",
Bay Area AQMD,21SBP211-School-Bus-replacement,21SBP211,Executed,Menlo Park City School District,Y,BAA-21SBP211-2,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0378,0.002,0.0002,0.378,0.02,0.002,6/11/21,,111500,CAP,CAP 3(FY 2019-2020,111500,,784151,ELEC,,Blue Bird,BBCV 3011,"37.461348, -122.130749",
Bay Area AQMD,21SBP211-School-Bus-replacement,21SBP211,Executed,Menlo Park City School District,Y,BAA-21SBP211-3,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1354,0.0087,0.0006,1.354,0.087,0.006,6/11/21,,267000,CAP,CAP 3(FY 2019-2020,267000,,784155,ELEC,,Blue Bird,BBCV 3310,"37.461348, -122.130749",
Bay Area AQMD,21SBP98-School-Bus-replacement,21SBP98,Executed,Palo Alto Unified School District,N,BAA-21SBP98-15,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0815,0.0058,0.0031,0.815,0.058,0.031,6/30/20,,251500,CAP,CAP 3(FY 2019-2020,251500,,800121,BELEC,,LION,LIOND,"37.4656889999999, -122.143467",
Bay Area AQMD,21SBP98-School-Bus-replacement,21SBP98,Executed,Palo Alto Unified School District,N,BAA-21SBP98-20,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.017,0.0011,0,0.17,0.011,0,6/30/20,,35000,CAP,CAP 3(FY 2019-2020,35000,,800123,ELEC,,LION,LIOND,"37.4656889999999, -122.143467",
Bay Area AQMD,22SBP105-School-Bus-replacement,22SBP105,Executed,Fremont Unified School District,N,BAA-22SBP105-R40,SB,On-Road Heavy-Duty Vehicles,Replacement,1,8,N,0.1036,0.009,0.0044,0.8288,0.072,0.0352,10/4/21,,393132,CAP,CAP 3(FY 2019-2020,393132,,762870,ELEC,,Thomas,B2 106,"37.551984, -121.989643",
Bay Area AQMD,22SBP105-School-Bus-replacement,22SBP105,Executed,Fremont Unified School District,N,BAA-22SBP105-R41,SB,On-Road Heavy-Duty Vehicles,Replacement,1,8,N,0.1036,0.009,0.0044,0.8288,0.072,0.0352,10/4/21,,393132,CAP,CAP 3(FY 2019-2020,393132,,761298,ELEC,,Thomas,B2 106,"37.551984, -121.989643",
Bay Area AQMD,22SBP105-School-Bus-replacement,22SBP105,Executed,Fremont Unified School District,N,BAA-22SBP105-R42,SB,On-Road Heavy-Duty Vehicles,Replacement,1,8,N,0.1036,0.009,0.0044,0.8288,0.072,0.0352,10/4/21,,393132,CAP,CAP 3(FY 2019-2020,393132,,761300,ELEC,,Thomas,B2 106,"37.551984, -121.989643",
Bay Area AQMD,22SBP105-School-Bus-replacement,22SBP105,Executed,Fremont Unified School District,N,BAA-22SBP105-R43,SB,On-Road Heavy-Duty Vehicles,Replacement,1,8,N,0.1036,0.009,0.0044,0.8288,0.072,0.0352,10/4/21,,393132,CAP,CAP 3(FY 2019-2020,393132,,761302,ELEC,,Thomas,B2 106,"37.551984, -121.989643",
Bay Area AQMD,22SBP14-School-Bus-replacement,22SBP14,Executed,Milpitas Unified School District,N,BAA-22SBP14-11,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1018,0.0057,0.0029,1.018,0.057,0.029,6/7/21,,193000,CAP,CAP 2(FY 2018-2019,193000,,761373,ELEC,,Blue Bird,T3RE 3904,"37.454515, -121.918134",
Bay Area AQMD,22SBP14-School-Bus-replacement,22SBP14,Executed,Milpitas Unified School District,N,BAA-22SBP14-8,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.2001,0.015,0.0063,2.001,0.15,0.063,6/7/21,,397598,CAP,CAP 2(FY 2018-2019,397598,,761314,ELEC,,Blue Bird,T3RE 3904,"37.454515, -121.918134",
Bay Area AQMD,22SBP40-School-Bus-replacement,22SBP40,Executed,Franklin-McKinley School District,Y,BAA-22SBP40-1,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.059,0.0039,0.002,0.59,0.039,0.02,10/4/21,,268000,CAP,CAP 2(FY 2018-2019,268000,,798145,ELEC,,Lion,LionA,"37.304436, -121.851946",
Bay Area AQMD,22SBP40-School-Bus-replacement,22SBP40,Executed,Franklin-McKinley School District,Y,BAA-22SBP40-10,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0371,0.0019,0.0002,0.371,0.019,0.002,10/4/21,,110000,CAP,CAP 2(FY 2018-2019,110000,,798129,BELEC,,Lion,LionA,"37.304436, -121.851946",
Bay Area AQMD,22SBP40-School-Bus-replacement,22SBP40,Executed,Franklin-McKinley School District,Y,BAA-22SBP40-5,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0784,0.0056,0.003,0.784,0.056,0.03,10/4/21,,218000,CAP,CAP 2(FY 2018-2019,218000,,798141,ELEC,,Lion,LionA,"37.304436, -121.851946",
Bay Area AQMD,22SBP40-School-Bus-replacement,22SBP40,Executed,Franklin-McKinley School District,Y,BAA-22SBP40-8,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0344,0.0018,0.0002,0.344,0.018,0.002,10/4/21,,102000,CAP,CAP 2(FY 2018-2019,102000,,798137,ELEC,,Lion,LionA,"37.304436, -121.851946",
Bay Area AQMD,22SBP40-School-Bus-replacement,22SBP40,Executed,Franklin-McKinley School District,Y,BAA-22SBP40-9,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0411,0.0022,0.0002,0.411,0.022,0.002,10/4/21,,122000,CAP,CAP 2(FY 2018-2019,122000,,798133,ELEC,,Lion,LionA,"37.304436, -121.851946",
Bay Area AQMD,22SBP71-School-Bus-replacement,22SBP71,Executed,Petaluma City Schools,Y,BAA-22SBP71-12,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1775,0.0127,0,1.775,0.127,0,12/15/21,,361000,CAP,CAP 3(FY 2019-2020,361000,,784337,ELEC,,Blue Bird,T3RE 3904,"38.299145, -122.678869",
Bay Area AQMD,22SBP71-School-Bus-replacement,22SBP71,Executed,Petaluma City Schools,Y,BAA-22SBP71-14,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1189,0.0078,0.0005,1.189,0.078,0.005,12/15/21,,236000,CAP,CAP 3(FY 2019-2020,236000,,784343,ELEC,,Blue Bird,T3RE 3904,"38.299145, -122.678869",
Bay Area AQMD,22SBP71-School-Bus-replacement,22SBP71,Executed,Petaluma City Schools,Y,BAA-22SBP71-15,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1189,0.0078,0.0005,1.189,0.078,0.005,12/15/21,,236000,CAP,CAP 3(FY 2019-2020,236000,,784345,ELEC,,Blue Bird,T3RE 3904,"38.299145, -122.678869",
Bay Area AQMD,22SBP71-School-Bus-replacement,22SBP71,Executed,Petaluma City Schools,Y,BAA-22SBP71-16,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1189,0.0078,0.0005,1.189,0.078,0.005,12/15/21,,236000,CAP,CAP 3(FY 2019-2020,236000,,784347,ELEC,,Blue Bird,T3RE 3904,"38.299145, -122.678869",
Bay Area AQMD,22SBP71-School-Bus-replacement,22SBP71,Executed,Petaluma City Schools,Y,BAA-22SBP71-35,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0779,0.0061,0.0004,0.779,0.061,0.004,12/15/21,,238000,CAP,CAP 3(FY 2019-2020,238000,,784349,ELEC,,Micro Bird,G5 Ford 200,"38.299145, -122.678869",
Bay Area AQMD,22SBP71-School-Bus-replacement,22SBP71,Executed,Petaluma City Schools,Y,BAA-22SBP71-38,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0773,0.0059,0.0004,0.773,0.059,0.004,12/15/21,,236000,CAP,CAP 3(FY 2019-2020,236000,,784351,ELEC,,Micro Bird,G5 Ford 200,"38.299145, -122.678869",
Bay Area AQMD,22SBP71-School-Bus-replacement,22SBP71,Executed,Petaluma City Schools,Y,BAA-22SBP71-39,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0773,0.0059,0.0004,0.773,0.059,0.004,12/15/21,,236000,CAP,CAP 3(FY 2019-2020,236000,,784353,ELEC,,Micro Bird,G5 Ford 200,"38.299145, -122.678869",
Bay Area AQMD,22SBP71-School-Bus-replacement,22SBP71,Executed,Petaluma City Schools,Y,BAA-22SBP71-40,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0773,0.0059,0.0004,0.773,0.059,0.004,12/15/21,,236000,CAP,CAP 3(FY 2019-2020,236000,,784355,ELEC,,Micro Bird,G5 Ford 200,"38.299145, -122.678869",
Bay Area AQMD,22SBP71-School-Bus-replacement,22SBP71,Executed,Petaluma City Schools,Y,BAA-22SBP71-41,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0773,0.0059,0.0004,0.773,0.059,0.004,12/15/21,,236000,CAP,CAP 3(FY 2019-2020,236000,,784357,ELEC,,Micro Bird,G5 Ford 200,"38.299145, -122.678869",
Bay Area AQMD,22SBP71-School-Bus-replacement,22SBP71,Executed,Petaluma City Schools,Y,BAA-22SBP71-42,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0516,0.0028,0.0003,0.516,0.028,0.003,12/15/21,,152000,CAP,CAP 3(FY 2019-2020,152000,,784359,ELEC,,Micro Bird,G5 Ford 200,"38.299145, -122.678869",
Bay Area AQMD,22SBP71-School-Bus-replacement,22SBP71,Executed,Petaluma City Schools,Y,BAA-22SBP71-5,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1189,0.0078,0.0005,1.189,0.078,0.005,12/15/21,,236000,CAP,CAP 3(FY 2019-2020,236000,,784361,ELEC,,Blue Bird,T3RE 3904,"38.299145, -122.678869",
Bay Area AQMD,22SBP71-School-Bus-replacement,22SBP71,Executed,Petaluma City Schools,Y,BAA-22SBP71-7,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0773,0.0059,0.0004,0.773,0.059,0.004,12/15/21,,236000,CAP,CAP 3(FY 2019-2020,236000,,795788,ELEC,,Blue Bird,T3RE 3904,"38.299145, -122.678869",
Bay Area AQMD,22SBP84-School-Bus-replacement,22SBP84,Executed,Rincon Valley Union School District,Y,BAA-22SBP84-103,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0729,0.0042,0.0019,0.729,0.042,0.019,9/8/21,,137000,CAP,CAP 3(FY 2019-2020,137000,,783893,ELEC,,Blue Bird,BBCV 3011,"38.480018, -122.667875",
Bay Area AQMD,22SBP84-School-Bus-replacement,22SBP84,Executed,Rincon Valley Union School District,Y,BAA-22SBP84-11,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.111,0.0065,0.0005,1.11,0.065,0.005,9/8/21,,211000,CAP,CAP 3(FY 2019-2020,211000,,784139,ELEC,,Blue Bird,T3RE 3904,"38.480018, -122.667875",
Bay Area AQMD,22SBP84-School-Bus-replacement,22SBP84,Executed,Rincon Valley Union School District,Y,BAA-22SBP84-17,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.073,0.0042,0.0019,0.73,0.042,0.019,9/8/21,,205000,CAP,CAP 3(FY 2019-2020,205000,,783895,ELEC,,Blue Bird,T3RE 3904,"38.480018, -122.667875",
Bay Area AQMD,22SBP84-School-Bus-replacement,22SBP84,Executed,Rincon Valley Union School District,Y,BAA-22SBP84-18,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1092,0.0064,0.0005,1.092,0.064,0.005,9/8/21,,208000,CAP,CAP 3(FY 2019-2020,208000,,783897,ELEC,,Blue Bird,BBCV 3011,"38.480018, -122.667875",
Butte County AQMD,CAP3-21-02 CUSD Bus,CAP3-21-02,Executed,Chico Unified School District,N,CAP3-21-02 School Bus,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1458,0.0152,0.001,1.458,0.152,0.01,7/1/21,,400000,CAP,CAP 3(FY 2019-2020,400000,,759702,ELEC,,Blue Bird,BBCV 3011,"39.71793113564766, -121.80471257707487",
San Diego County APCD,CAPP San Ysidro SD Buses Yr 22,CAP APCD2020-OVEH-61-62-63,Executed,San Ysidro School District,Y,CAPP Bus 11 APCD2020-OVEH-0068 SYSD - funded,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0858,0.0067,0.0005,0.858,0.067,0.005,11/3/21,,266231,CAP,CAP 3(FY 2019-2020,266231,,759449,ELEC,,,,"32.54710, -117.05307",
San Diego County APCD,CAPP San Ysidro SD Buses Yr 22,CAP APCD2020-OVEH-61-62-63,Executed,San Ysidro School District,Y,CAPP Bus 12 APCD2020-OVEH-0066 SYSD - funded,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.0976,0.006,0.0004,0.976,0.06,0.004,11/3/21,,290172,CAP,CAP 3(FY 2019-2020,290172,,759453,ELEC,,,,"32.54710, -117.05307",
San Diego County APCD,Chula Vista ESD ERP Y22 EJ,APCD2020-OVEH-0023 & -0024,Executed,Chula Vista Elementary School District,Y,APCD2020-OVEH-0023-Bus 31_,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1259,0.0138,0.001,1.259,0.138,0.01,7/22/21,,346609.93,CAP,CAP 3(FY 2019-2020,346609,,759044,ELEC,,IC Bus,describe other,"32.60044, -117.08431",
San Diego County APCD,Chula Vista ESD ERP Y22 EJ,APCD2020-OVEH-0023 & -0024,Executed,Chula Vista Elementary School District,Y,APCD2020-OVEH-0024--Bus 32,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1259,0.0138,0.001,1.259,0.138,0.01,7/22/21,,346609.93,CAP,CAP 3(FY 2019-2020,346609,,759046,ELEC,,IC Bus,,"32.60044, -117.08431",
San Joaquin Valley APCD,Di Giorgio Elementary School D,G-70314,Executed,Di Giorgio Elementary School District,Y,32540,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1593,0.0145,0.0132,1.593,0.145,0.132,11/12/19,,400000,CAP,CAP 1(FY 2017-2018,400000,,668406,ELEC,,Green Power,Synapse,"35.23659500, -118.78606100",
Eastern Kern APCD,EV Bus 1,05-008-2021,Executed,Sierra Sands Unified School District,Y,EV Bus 1,SB,On-Road Heavy-Duty Vehicles,Replacement,1,5,N,0.2414,0.026,0.0033,1.207,0.13,0.0165,5/13/21,,400000,CAP,CAP 2(FY 2018-2019,332252.41,,762535,ELEC,,GreenPower Synapse,,"35.63323, -117.67015",
Eastern Kern APCD,EV Bus 2,05-009-2021,Executed,Sierra Sands Unified School District,Y,EV Bus 2,SB,On-Road Heavy-Duty Vehicles,Replacement,1,5,N,0.2419,0.0268,0.0033,1.2095,0.134,0.0165,5/13/21,,400000,CAP,CAP 3(FY 2019-2020,400000,,744988,ELEC,,GreenPower Synapse,,"35.63323, -117.67015",
San Joaquin Valley APCD,Fowler Unified School District,G-70570,Executed,Fowler Unified School District,Y,1,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.2006,0.0144,0.0009,2.006,0.144,0.009,5/16/19,,400000,CAP,CAP 1(FY 2017-2018,400000,,651759,ELEC,,,,"36.63274100, -119.67201000",
Ventura County APCD,Ocean View School District,22-077,Executed,Ocean View School District,N,2020 Blue Bird T3RE 3904,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1993,0.0197,0.0173,1.993,0.197,0.173,1/20/21,44078,399996,CAP,CAP 3(FY 2019-2020,399996,,731110,ELEC,,Blue Bird,T3RE 3904,"34.1615, -119.1467 ",
Santa Barbara County APCD,On-Road: SBMTD,AP192028 SBMTD,Executed,Santa Barbara Metropolitan Transit Distr,N,2019-08 Santa Barbara Metropolitan Transit District,UB,On-Road Heavy-Duty Vehicles,Replacement,1,12,N,0.0541,0.0009,0.0003,0.6492,0.0108,0.0036,11/20/20,,65455,CAP,CAP 2(FY 2018-2019,65455,,710301,ELEC,,New Flyer,Charge XE40,"34.42278, -119.69035",
San Joaquin Valley APCD,Richland School District,G-71686,Executed,Richland School District,Y,1,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1215,0.0121,0.0009,1.215,0.121,0.009,7/23/19,,384139.36,CAP,CAP 1(FY 2017-2018,384139.36,,649253,ELEC,,Blue Bird,BBCV 3011,"35.50545600, -119.28251300",
San Joaquin Valley APCD,Richland School District,G-71685,Executed,Richland School District,Y,1,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1291,0.0193,0.0018,1.291,0.193,0.018,7/23/19,,400000,CAP,CAP 1(FY 2017-2018,400000,,649285,ELEC,,Blue Bird,T3RE 3904,"35.50545600, -119.28251300",
San Joaquin Valley APCD,Richland School District,G-71678,Executed,Richland School District,Y,1,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.1823,0.0178,0.0024,1.823,0.178,0.024,7/23/19,,400000,CAP,CAP 1(FY 2017-2018,400000,,649267,ELEC,,Blue Bird,T3RE 3904,"35.50545600, -119.28251300",
Ventura County APCD,Ventura Unified,21-073,Executed,Ventura Unified,N,Bus #08,SB,On-Road Heavy-Duty Vehicles,Replacement,1,10,N,0.2169,0.0285,0.0019,2.169,0.285,0.019,7/7/20,,400000,CAP,CAP 2(FY 2018-2019,400000,,730427,ELEC,,Thomas Built,,"34.296836, -119.297111",
